business_id,cn_pop_sqmi,nn_count,nn_percent_rest,nn_all_percent_open,nn_max_cat_sim,nn_min_cat_sim,nn_avg_stars,nn_max_stars,nn_min_stars,nn_avg_review_count,nn_max_review_count,nn_min_review_count,nn_rest_avg_stars,nn_rest_max_stars,nn_rest_min_stars,nn_rest_avg_review_count,nn_rest_max_review_count,nn_rest_min_review_count,nn_weighted_avg_stars,nn_weighted_avg_review_count,nn_rest_percent_open,nn_mean_cat_sim,cn_opyear_emp,cn_opyear_qp1,cn_opyear_ap,cn_opyear_est,cn_opyear_zip_est,cn_opyear_diff_emp,cn_opyear_diff_qp1,cn_opyear_diff_ap,cn_opyear_diff_est,cn_opyear_diff_zip_est
mOaHJZYTsgB0G_TIKykFAA,5296.69,3,66,66,1,0,3.333333333333333,4.5,1.5,269.0,415,11,4.25,4.5,4.0,213.0,415,11,4.5,415.0,50,0.5,77580,348547,1463633,3661,45.0,1.4396108735731379,5.20934893703081,6.877900812300466,0.8539944903581268,4.651162790697675
XBikK0GMqJTF5d_bI3VSkA,5296.69,267,35,63,1,0,3.4756554307116105,5.0,1.0,126.7303370786517,1853,3,3.4255319148936163,4.5,2.0,186.4893617021277,1590,3,3.5357142857142856,255.28571428571428,46,0.14893617021276595,80733,395225,1632905,3777,44.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,18.91891891891892
ckc3l8cSuggloG4NlquEFQ,5296.69,230,11,78,1,0,3.660869565217392,5.0,1.0,44.01304347826087,1022,3,3.3846153846153846,4.5,2.0,173.88461538461542,1022,3,2.583333333333333,24.0,53,0.2307692307692308,80733,395225,1632905,3777,44.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,18.91891891891892
oupRStsBHVRsxhrEm8-DgA,5296.69,279,35,64,2,0,3.4731182795698925,5.0,1.0,129.55913978494624,2117,3,3.4183673469387754,4.5,2.0,201.3877551020408,2117,3,3.0789473684210527,160.73684210526315,48,0.19387755102040816,80733,395225,1632905,3777,44.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,18.91891891891892
InDH4ZQ_byiQ5PyaqgHI8Q,5296.69,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1.0,75911,320917,1324272,3493,42.0,3.7007185596021968,13.853647806774802,11.36196979380403,8.714596949891067,-6.666666666666667
Rhz38lsptoxX9IWS641LFA,5296.69,16,18,56,0,0,3.9375,5.0,2.0,17.6875,55,3,3.6666666666666665,4.0,3.5,51.66666666666666,55,50,-1.0,-1.0,33,0.0,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
JRh14J_be0jl7Wbt412vDA,5296.69,236,36,63,3,0,3.5148305084745757,5.0,1.0,128.6228813559322,1853,3,3.4360465116279064,4.5,2.0,193.59302325581402,1590,3,3.690476190476191,276.3809523809524,46,0.4883720930232558,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
GHS1rVjO-RMcRB6WJLpCDQ,5296.69,1,0,100,-1,-1,4.0,4.0,4.0,4.0,4,4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1.0,65813,241023,1041448,2953,41.0,10.828014751696614,10.2504871600172,12.74645234208213,6.146657081236521,7.894736842105263
3QzPhQ3ltbon0-1gC7Q18Q,5296.69,411,32,67,6,0,3.554744525547445,5.0,1.0,124.03163017031629,2117,3,3.4734848484848486,4.5,2.0,237.15151515151518,2117,3,3.6648351648351647,304.59340659340666,53,0.6893939393939394,89310,429714,1830119,4020,47.0,1.4540497557650802,-4.9816138668813,-2.0254256932588777,2.971311475409836,2.1739130434782608
P4Plzlfm4uJjNmH3wY4W1Q,5296.69,1,100,0,0,0,2.0,2.0,2.0,5.0,5,5,2.0,2.0,2.0,5.0,5,5,-1.0,-1.0,0,0.0,75911,320917,1324272,3493,42.0,3.7007185596021968,13.853647806774802,11.36196979380403,8.714596949891067,-6.666666666666667
8t4RND0dQhO0MBvyuMVkKA,5296.69,8,50,62,1,0,3.4375,4.5,1.5,131.0,415,4,3.875,4.5,3.0,141.0,415,4,4.0,134.0,50,0.25,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
SmkGXa3XVZTXV04IcBkwLg,5296.69,5,20,100,0,0,3.8,4.5,3.0,49.8,104,6,3.0,3.0,3.0,87.0,87,87,-1.0,-1.0,100,0.0,75911,320917,1324272,3493,42.0,3.7007185596021968,13.853647806774802,11.36196979380403,8.714596949891067,-6.666666666666667
t11XP4951u7XmfayZYb5rQ,5296.69,33,30,78,1,0,2.8181818181818183,5.0,1.0,16.848484848484848,69,3,2.55,4.0,1.0,20.6,69,3,2.875,18.0,60,0.4,88030,452243,1867953,3904,46.0,9.038435336231776,14.426718957555822,14.394468753540469,3.3624569764363255,4.545454545454546
nhjYGdlR5Yw5-uOQqCVF8A,5296.69,7,57,42,3,0,2.642857142857143,4.0,2.0,22.142857142857146,69,5,2.75,4.0,2.0,30.25,69,5,2.75,60.25,25,1.0,77580,348547,1463633,3661,45.0,1.4396108735731379,5.20934893703081,6.877900812300466,0.8539944903581268,4.651162790697675
YODpEX6xACHoERsIol4-gg,5296.69,16,43,75,2,0,2.875,5.0,1.0,16.25,69,3,2.2857142857142856,4.0,1.0,24.714285714285715,69,5,2.0,36.857142857142854,57,1.0,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
er6OO20_aWhhaVuIABTj2Q,5296.69,2,50,50,0,0,2.75,4.0,1.5,196.0,381,11,4.0,4.0,4.0,11.0,11,11,-1.0,-1.0,0,0.0,76479,331289,1369444,3630,43.0,-6.665771713794072,-3.6379131810724963,-2.440894004233077,-1.2244897959183674,-6.521739130434782
q1tKmIMgDdBGwLzcuxnmtg,5296.69,11,63,72,1,0,3.4090909090909087,4.5,1.5,92.9090909090909,415,4,3.571428571428572,4.5,2.0,88.2857142857143,415,4,2.0,28.0,57,0.14285714285714285,80733,395225,1632905,3777,44.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,18.91891891891892
YZGSNhgTS6YeyUYoivD-Ww,5296.69,25,44,72,2,0,3.42,4.5,2.5,429.64,1853,3,3.5454545454545454,4.0,2.5,322.54545454545456,991,3,3.5,318.4,54,0.4545454545454545,73202,281868,1189160,3213,45.0,11.227265129989515,16.946515477775982,14.183329364500196,8.804605485946496,9.75609756097561
G3u4eA85qY8t3LWtiU27qQ,5296.69,13,38,69,0,0,3.5769230769230766,4.5,1.5,85.69230769230771,415,4,3.9,4.5,3.0,115.2,415,4,-1.0,-1.0,60,0.0,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
kB1S2GJUjE2k3XN1WQS9tQ,5296.69,10,60,70,1,0,3.55,4.5,1.5,99.4,415,4,3.8333333333333335,4.5,3.0,98.33333333333331,415,4,4.0,73.0,50,0.3333333333333333,80733,395225,1632905,3777,44.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,18.91891891891892
lYsq47uDzdjYUGtyUq8aaQ,5296.69,86,13,74,1,0,3.61046511627907,5.0,1.5,84.62790697674419,1853,3,3.583333333333333,4.5,2.5,168.75,964,3,3.5,59.0,50,0.08333333333333333,77580,348547,1463633,3661,45.0,1.4396108735731379,5.20934893703081,6.877900812300466,0.8539944903581268,4.651162790697675
TtqvXhjmXXd0nhibRAbpRg,5296.69,15,40,80,0,0,3.533333333333333,5.0,2.0,140.86666666666667,1096,3,3.75,4.5,3.0,277.8333333333333,1096,3,-1.0,-1.0,66,0.0,81941,343796,1403707,3675,46.0,7.94351279788173,7.129257720843707,5.998390058839876,5.210420841683367,9.523809523809524
oYWixgv1kiPV1j02TYzaPA,5296.69,11,45,81,1,0,3.8181818181818175,5.0,2.5,166.36363636363637,1096,3,3.9,4.5,3.0,314.0,1096,3,3.0,87.0,80,0.2,81941,343796,1403707,3675,46.0,7.94351279788173,7.129257720843707,5.998390058839876,5.210420841683367,9.523809523809524
jOMtqF2XnRgOZ2eOVLoxGA,5296.69,24,41,75,2,0,3.4375,5.0,1.0,53.5,415,3,3.4,4.5,2.0,65.7,415,4,3.611111111111111,128.88888888888889,60,0.9,88030,452243,1867953,3904,46.0,9.038435336231776,14.426718957555822,14.394468753540469,3.3624569764363255,4.545454545454546
ItqPtxnayraXSlBS0EMOgg,5296.69,506,23,75,3,0,3.656126482213439,5.0,1.0,100.67391304347828,2117,3,3.4615384615384617,4.5,2.0,247.19658119658118,2117,3,3.5434782608695654,293.9347826086956,59,0.3931623931623932,88030,452243,1867953,3904,46.0,9.038435336231776,14.426718957555822,14.394468753540469,3.3624569764363255,4.545454545454546
Seq3iuRR5vThdVeXDc6Dnw,5296.69,182,13,77,2,0,3.645604395604396,5.0,1.0,54.384615384615394,1096,3,3.395833333333333,4.5,2.0,222.75,1096,3,2.6875,35.75,66,0.3333333333333333,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
EUWBT5GDxPC95w9itZ1EHw,5296.69,1,100,0,0,0,4.0,4.0,4.0,188.0,188,188,4.0,4.0,4.0,188.0,188,188,-1.0,-1.0,0,0.0,65813,241023,1041448,2953,41.0,10.828014751696614,10.2504871600172,12.74645234208213,6.146657081236521,7.894736842105263
5tzNOeow197qn-a0tUJdVA,5296.69,103,13,70,2,0,3.6359223300970873,5.0,1.5,74.73786407766991,1022,3,3.5,4.5,2.0,303.2142857142857,1022,3,3.1,218.0,50,0.35714285714285715,77580,348547,1463633,3661,45.0,1.4396108735731379,5.20934893703081,6.877900812300466,0.8539944903581268,4.651162790697675
TiGaN6511lg_SgO2U75_FA,5296.69,102,13,70,1,0,3.7205882352941178,5.0,1.5,73.81372549019608,1022,3,3.6428571428571432,4.5,2.5,306.92857142857144,1022,3,3.333333333333333,152.66666666666666,57,0.21428571428571427,77580,348547,1463633,3661,45.0,1.4396108735731379,5.20934893703081,6.877900812300466,0.8539944903581268,4.651162790697675
sVrkLeKlDfCKjQWfcHVqrg,5296.69,5,60,20,1,0,2.9,4.0,2.0,22.8,69,5,3.0,4.0,2.0,29.0,69,5,3.0,69.0,0,0.3333333333333333,76479,331289,1369444,3630,43.0,-6.665771713794072,-3.6379131810724963,-2.440894004233077,-1.2244897959183674,-6.521739130434782
tcclqqE4T8XbgS-02vsl6A,5296.69,371,11,76,1,0,3.676549865229111,5.0,1.0,44.29380053908357,1022,3,3.524390243902439,5.0,2.0,194.48780487804882,1022,3,4.5,6.0,46,0.024390243902439025,89310,429714,1830119,4020,47.0,1.4540497557650802,-4.9816138668813,-2.0254256932588777,2.971311475409836,2.1739130434782608
wD7Qg9eounsAtUZjlMZOuA,5296.69,154,11,77,0,0,3.7110389610389616,5.0,1.5,55.201298701298704,1022,3,3.4117647058823533,4.5,2.0,256.9411764705883,1022,3,-1.0,-1.0,64,0.0,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
yBxzqKXHhvNVaFnEOd4f7Q,5296.69,50,20,84,0,0,3.54,5.0,1.0,79.62,1096,3,3.4,4.5,2.0,185.4,1096,3,-1.0,-1.0,70,0.0,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
QuIHYWB9l3NtyWETwwpCaQ,5296.69,30,13,63,0,0,3.65,5.0,1.5,103.4,964,4,3.75,4.0,3.5,525.25,964,78,-1.0,-1.0,75,0.0,75911,320917,1324272,3493,42.0,3.7007185596021968,13.853647806774802,11.36196979380403,8.714596949891067,-6.666666666666667
O_YSJEMk2GzcmnwXWBj74g,5296.69,147,45,55,2,0,3.4659863945578238,5.0,1.5,160.08163265306126,1853,3,3.41044776119403,4.5,2.0,182.1492537313433,991,3,3.53125,226.0,40,0.2388059701492537,77580,348547,1463633,3661,45.0,1.4396108735731379,5.20934893703081,6.877900812300466,0.8539944903581268,4.651162790697675
gMwqeg2s0a8JAC5DqSyM2A,5296.69,56,44,57,1,0,3.5267857142857144,4.5,2.0,290.2142857142857,1853,3,3.54,4.5,2.5,272.92,991,3,4.166666666666667,462.66666666666674,52,0.24,75911,320917,1324272,3493,42.0,3.7007185596021968,13.853647806774802,11.36196979380403,8.714596949891067,-6.666666666666667
Qc0l8rZ3nvrcERitgxu8XA,5296.69,7,57,85,0,0,3.8571428571428568,4.5,3.0,89.14285714285714,306,3,3.75,4.5,3.0,118.5,306,3,-1.0,-1.0,75,0.0,81941,343796,1403707,3675,46.0,7.94351279788173,7.129257720843707,5.998390058839876,5.210420841683367,9.523809523809524
K_URSTcq_chiWPcMpuo3Qw,5296.69,214,36,61,1,0,3.52803738317757,5.0,1.5,121.35046728971965,1853,3,3.4240506329113924,4.5,2.0,161.37974683544303,991,3,3.3571428571428568,261.14285714285717,43,0.08860759493670886,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
g2K86Bq8Dz-ikGn_yqpwQQ,5296.69,217,18,77,3,0,3.569124423963133,5.0,1.5,72.51152073732719,1853,3,3.3625,4.5,2.0,187.325,964,3,3.3833333333333333,193.9,52,0.75,80733,395225,1632905,3777,44.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,18.91891891891892
FCP5hYaTtn6dkpmZ_NTvEw,5296.69,11,18,45,0,0,3.863636363636364,5.0,3.0,123.72727272727272,964,4,3.75,4.0,3.5,609.0,964,254,-1.0,-1.0,100,0.0,73202,281868,1189160,3213,45.0,11.227265129989515,16.946515477775982,14.183329364500196,8.804605485946496,9.75609756097561
sZsJooAzpKqOvDysphkqpQ,5296.69,264,35,63,1,0,3.4678030303030303,5.0,1.0,127.09469696969695,1853,3,3.419354838709677,4.5,2.0,185.82795698924733,1590,3,3.5,182.8,47,0.053763440860215055,80733,395225,1632905,3777,44.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,18.91891891891892
hJX8WoV-KbFVHojZ6i83Cg,5296.69,63,20,85,3,0,3.626984126984127,5.0,1.0,69.93650793650794,1096,3,3.4615384615384617,4.5,2.0,160.38461538461542,1096,3,3.125,55.875,69,0.6153846153846154,80733,395225,1632905,3777,44.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,18.91891891891892
4NxIM5xpIEem1IkEkz2I7Q,5296.69,138,10,79,1,0,3.5615942028985508,5.0,1.0,43.89855072463768,1022,3,3.2666666666666666,4.5,2.0,186.8,1022,3,3.75,217.5,66,0.13333333333333333,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
nRNWaEuPtfcyR8pI-LnASA,5296.69,80,10,71,1,0,3.76875,5.0,1.5,68.425,964,3,3.75,4.5,2.5,310.25,964,3,3.5,385.0,50,0.125,76479,331289,1369444,3630,43.0,-6.665771713794072,-3.6379131810724963,-2.440894004233077,-1.2244897959183674,-6.521739130434782
RvXOCaZokr_sfoLQpm1JRQ,5296.69,75,10,70,0,0,3.7266666666666666,5.0,1.5,71.08,964,3,3.6875,4.5,2.0,309.5,964,3,-1.0,-1.0,37,0.0,76479,331289,1369444,3630,43.0,-6.665771713794072,-3.6379131810724963,-2.440894004233077,-1.2244897959183674,-6.521739130434782
kgffcoxT6BQp-gJ-UQ7Czw,3731.16,18,38,72,0,0,3.7777777777777777,5.0,2.0,57.33333333333334,242,4,3.6428571428571432,4.5,2.0,100.42857142857143,242,10,-1.0,-1.0,42,0.0,77580,348547,1463633,3661,31.0,1.4396108735731379,5.20934893703081,6.877900812300466,0.8539944903581268,6.896551724137931
0jtRI7hVMpQHpUVtUy4ITw,3731.16,10,30,70,1,0,3.85,4.5,3.0,44.2,161,4,4.0,4.5,3.5,68.66666666666667,161,17,4.0,161.0,33,0.3333333333333333,76479,331289,1369444,3630,29.0,-6.665771713794072,-3.6379131810724963,-2.440894004233077,-1.2244897959183674,3.571428571428571
D1TaFES4phv65RmsM8VCiA,3731.16,15,60,80,1,0,3.1333333333333333,5.0,1.5,41.6,121,3,3.055555555555556,4.0,2.0,53.33333333333334,121,8,2.5,43.0,77,0.1111111111111111,77634,363239,1561994,3632,29.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-6.451612903225806
i5EhA_T8_eWLr4_4DGDS5w,3731.16,17,35,70,1,0,3.882352941176471,5.0,3.0,58.58823529411765,242,4,3.9166666666666665,4.5,3.5,111.16666666666669,242,10,4.0,161.0,33,0.16666666666666666,77580,348547,1463633,3661,31.0,1.4396108735731379,5.20934893703081,6.877900812300466,0.8539944903581268,6.896551724137931
0IbboCQAEQlROAv5PKKO_Q,3731.16,1,100,100,0,0,4.0,4.0,4.0,161.0,161,161,4.0,4.0,4.0,161.0,161,161,-1.0,-1.0,100,0.0,75911,320917,1324272,3493,26.0,3.7007185596021968,13.853647806774802,11.36196979380403,8.714596949891067,-7.142857142857142
YBNmWKk0c_yMGGv24gCrXQ,3731.16,46,23,76,1,0,3.717391304347826,5.0,1.5,44.71739130434783,139,3,3.1818181818181817,4.0,1.5,55.27272727272727,134,7,2.5,74.0,45,0.09090909090909093,77634,363239,1561994,3632,29.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-6.451612903225806
pgvv3Fi0HiD0ateqLcqyZQ,3731.16,27,18,81,1,0,3.4444444444444446,5.0,2.0,32.111111111111114,145,3,2.8,3.5,2.5,48.4,142,3,3.5,62.0,80,0.2,80733,395225,1632905,3777,30.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,3.4482758620689653
pr8Mha_nXhkONtwmj9ka4g,3731.16,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1.0,81941,343796,1403707,3675,28.0,7.94351279788173,7.129257720843707,5.998390058839876,5.210420841683367,7.6923076923076925
FHcYehsC09G-0HPo2-yj-Q,3731.16,3,33,33,0,0,3.333333333333333,4.0,2.5,38.0,62,11,3.5,3.5,3.5,62.0,62,62,-1.0,-1.0,100,0.0,76479,331289,1369444,3630,29.0,-6.665771713794072,-3.6379131810724963,-2.440894004233077,-1.2244897959183674,3.571428571428571
gBQH64vIkA-kIDFGM290dw,3731.16,6,50,50,0,0,3.6666666666666665,5.0,2.0,64.66666666666667,139,7,3.6666666666666665,4.0,3.5,46.33333333333334,73,7,-1.0,-1.0,0,0.0,81941,343796,1403707,3675,28.0,7.94351279788173,7.129257720843707,5.998390058839876,5.210420841683367,7.6923076923076925
elpS_xeOX_S5obTwx55kjg,3731.16,5,40,60,0,0,3.9,4.5,3.0,46.8,161,4,4.25,4.5,4.0,89.0,161,17,-1.0,-1.0,50,0.0,81941,343796,1403707,3675,28.0,7.94351279788173,7.129257720843707,5.998390058839876,5.210420841683367,7.6923076923076925
9B1Rf_KjWBtTNXwPCmYluw,3731.16,77,19,76,2,0,3.7662337662337664,5.0,1.5,35.5974025974026,237,3,3.2,4.0,1.5,61.86666666666667,237,7,2.333333333333333,95.33333333333331,46,0.4,88030,452243,1867953,3904,30.0,9.038435336231776,14.426718957555822,14.394468753540469,3.3624569764363255,0.0
gbKBMsduFZl_oBwahocNBg,3731.16,7,14,71,0,0,3.7857142857142856,5.0,3.0,38.0,142,4,3.0,3.0,3.0,142.0,142,142,-1.0,-1.0,100,0.0,80733,395225,1632905,3777,30.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,3.4482758620689653
PtwW1Hwme8Y0wy54zNr8Xw,3731.16,95,18,78,3,0,3.8,5.0,1.0,33.747368421052634,237,3,3.25,4.0,1.5,55.555555555555564,237,3,3.0,141.0,50,0.3888888888888889,89310,429714,1830119,4020,29.0,1.4540497557650802,-4.9816138668813,-2.0254256932588777,2.971311475409836,-3.3333333333333335
SqxIx0KbTmCvUlOfkjamew,3731.16,62,29,83,1,0,3.629032258064516,5.0,1.0,51.693548387096776,655,3,3.5,4.5,2.0,118.05555555555556,655,10,4.5,655.0,66,0.05555555555555555,80733,395225,1632905,3777,30.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,3.4482758620689653
MQiNywdecInMlkW06WYaCg,3731.16,3,33,66,0,0,3.333333333333333,4.0,2.0,90.0,139,59,4.0,4.0,4.0,59.0,59,59,-1.0,-1.0,0,0.0,81941,343796,1403707,3675,28.0,7.94351279788173,7.129257720843707,5.998390058839876,5.210420841683367,7.6923076923076925
1JgaRBX0oiRsvEhHF3ZMjw,3731.16,1,0,100,-1,-1,4.0,4.0,4.0,72.0,72,72,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1.0,75911,320917,1324272,3493,26.0,3.7007185596021968,13.853647806774802,11.36196979380403,8.714596949891067,-7.142857142857142
1Iz9OlIJi12jLWrQYoUsAA,3731.16,4,50,50,1,0,3.375,4.0,2.0,85.75,139,59,3.75,4.0,3.5,66.0,73,59,4.0,59.0,0,0.5,81941,343796,1403707,3675,28.0,7.94351279788173,7.129257720843707,5.998390058839876,5.210420841683367,7.6923076923076925
_sh6mIBWZis66mAjkjN8Qg,3731.16,68,26,72,4,0,3.669117647058824,5.0,1.5,37.441176470588225,139,3,3.2777777777777777,4.0,1.5,47.611111111111114,134,7,2.8181818181818183,63.27272727272727,44,0.6111111111111112,80733,395225,1632905,3777,30.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,3.4482758620689653
anrLWKAKm3hFLcJpbhEDUg,3731.16,24,45,62,3,0,3.4791666666666665,5.0,1.5,50.08333333333334,139,4,3.3181818181818183,4.0,1.5,53.81818181818182,134,7,1.75,61.0,36,0.3636363636363637,77580,348547,1463633,3661,31.0,1.4396108735731379,5.20934893703081,6.877900812300466,0.8539944903581268,6.896551724137931
Forh8ReS4pbs9PAIzcRpLA,3731.16,46,30,82,2,0,3.684782608695652,5.0,2.0,58.0,655,3,3.4285714285714284,4.5,2.0,122.14285714285714,655,10,3.625,170.5,64,0.2857142857142857,80733,395225,1632905,3777,30.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,3.4482758620689653
4lKF-M_3OLsk1usLPDJEFA,3731.16,8,50,50,0,0,3.8125,5.0,2.0,65.75,139,4,3.625,4.0,3.5,68.25,134,7,-1.0,-1.0,25,0.0,76479,331289,1369444,3630,29.0,-6.665771713794072,-3.6379131810724963,-2.440894004233077,-1.2244897959183674,3.571428571428571
qsdHK1eQtXmAJNdVJxiC3w,3731.16,3,33,0,0,0,3.0,4.0,2.5,18.33333333333333,41,3,2.5,2.5,2.5,3.0,3,3,-1.0,-1.0,0,0.0,77580,348547,1463633,3661,31.0,1.4396108735731379,5.20934893703081,6.877900812300466,0.8539944903581268,6.896551724137931
K-fw0gOHs5sF--_SRZa2Qg,3731.16,37,27,78,1,0,3.6486486486486487,5.0,1.5,48.78378378378378,139,4,3.1,4.0,1.5,56.9,134,7,2.5,73.0,40,0.1,77634,363239,1561994,3632,29.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-6.451612903225806
